Team 1,Team 2,Division,Date,Time,Venue,Winner,Score 1,Score 2
Queens,Astoria,HS-NY,2026-05-02,3:00 PM,BK,t1,44,37
Brooklyn (1),Brooklyn (2),HS-NY,2026-05-02,7:00 PM,BK,t1,35,10
SI2,Astoria,JHS,2026-05-02,4:00 PM,BK,t1,38,19
Queens,SI2,College,2026-05-02,5:00 PM,BK,t2,40,50
Brooklyn,Bayonne 2 (VMSJ),College,2026-05-02,6:00 PM,BK,t1,51,28
SI1 (1),SI2 (1),HS-NY,2026-05-03,8:00 PM,HC,t1,28,3
Upstate,Piscataway,HS-NJ,2026-05-03,6:00 PM,HC,t1,30,17
West Side,Holmdel,HS-NJ,2026-05-03,7:00 PM,HC,t2,41,49
West Side,Bayonne 1 (SASA),JHS,2026-05-03,3:00 PM,HC,t1,31,26
Belleville,Holmdel,Girls,2026-05-03,5:00 PM,HC,t2,16,18
Piscataway,Bayonne 1 (SASA),College,2026-05-03,4:00 PM,HC,t2,24,45
SI1 (2),SI2 (1),HS-NY,2026-05-09,5:00 PM,BK,t1,33,3
SI1 (1),SI2 (2),HS-NY,2026-05-09,6:00 PM,BK,t1,57,27
Queens,Long Island (1),HS-NY,2026-05-09,3:00 PM,LI,t1,28,20
Makkar,Piscataway,HS-NJ,2026-05-09,11:00 AM,SJN,t1,44,19
Paramus,Bayonne 1 (SASA) (2),HS-NJ,2026-05-09,12:00 PM,SJN,t2,16,36
Upstate,Bayonne 1 (SASA) (1),HS-NJ,2026-05-09,1:00 PM,SJN,t1,30,29
Summit,Makkar,JHS,2026-05-09,10:00 AM,SJN,t2,20,29
Holmdel,West Side,JHS,2026-05-09,3:00 PM,SJN,t1,26,24
Queens,Astoria,JHS,2026-05-09,2:00 PM,LI,t1,41,20
Queens,Astoria,Girls,2026-05-09,1:00 PM,LI,t1,38,3
Upstate,SI1,Girls,2026-05-09,2:00 PM,SJN,t2,30,55
SI2,SI3,Girls,2026-05-09,7:00 PM,BK,t1,23,5
Holmdel,Upstate,College,2026-05-09,12:00 PM,CYO,t1,68,43
SI1,Philadelphia,College,2026-05-09,3:00 PM,CYO,t1,58,56
Queens,Long Island,College,2026-05-09,12:00 PM,LI,t1,48,47
SI2,Summit,Mens,2026-05-09,1:00 PM,CYO,t2,51,62
Holmdel,SI1,Mens,2026-05-09,2:00 PM,CYO,t1,53,50
Long Island (1),Long Island (2),HS-NY,2026-05-16,1:00 PM,LI,t1,40,10
Brooklyn (2),Queens,HS-NY,2026-05-16,3:00 PM,BK,t2,0,25
SI1 (2),SI2 (2),HS-NY,2026-05-16,3:00 PM,SJN,t1,31,16
Brooklyn (1),Astoria,HS-NY,2026-05-16,1:00 PM,BK,t2,33,42
West Side,Bayonne 2 (VMSJ) (1),HS-NJ,2026-05-16,2:00 PM,EB,t1,54,23
EB (1),Upstate,HS-NJ,2026-05-16,10:00 AM,EB,t1,47,26
EB (1),West Side,JHS,2026-05-16,4:00 PM,EB,t1,40,14
Summit,Philadelphia,JHS,2026-05-16,12:00 PM,EB,t1,19,11
Brooklyn,Bayonne 2 (VMSJ),JHS,2026-05-16,1:00 PM,SJN,t2,0,25
SI1,SI2,JHS,2026-05-16,2:00 PM,SJN,t2,19,25
Queens,Astoria,JHS,2026-05-16,4:00 PM,BK,t1,51,24
Holmdel,Upstate,Girls,2026-05-16,11:00 AM,EB,t1,28,10
Brooklyn,Queens,Girls,2026-05-16,2:00 PM,BK,t2,7,21
SI1,SI2,Girls,2026-05-16,4:00 PM,SJN,t1,55,15
Belleville,Astoria,Girls,2026-05-16,12:00 PM,BK,t1,39,1
Upstate,Philadelphia,College,2026-05-16,1:00 PM,EB,t2,59,68
Bayonne 2 (VMSJ),Queens,College,2026-05-16,5:00 PM,BK,t2,33,59
SI1,Brooklyn,College,2026-05-16,6:00 PM,BK,t1,68,58
SI2,Piscataway,College,2026-05-16,5:00 PM,EB,t1,57,21
Queens,Long Island,Mens,2026-05-16,12:00 PM,LI,t2,0,25
Summit,Hatfield,Mens,2026-05-16,3:00 PM,EB,t1,60,35
EB,Holmdel,Mens,2026-05-16,6:00 PM,EB,t1,67,54
SI1,Bayonne 1 (SASA),Mens,2026-05-16,7:00 PM,BK,t1,89,45
EB (1),West Side,HS-NJ,2026-05-17,8:00 PM,EB,t1,47,37
Philadelphia,Bayonne 1 (SASA) (1),HS-NJ,2026-05-17,5:00 PM,EB,t2,39,47
Holmdel,Upstate,HS-NJ,2026-05-17,4:00 PM,GC,t1,43,17
Long Island (2),Brooklyn (2),HS-NY,2026-05-17,6:00 PM,LI,t1,29,19
Queens,SI1 (2),HS-NY,2026-05-17,7:00 PM,BK,t1,25,0
Long Island (1),Brooklyn (1),HS-NY,2026-05-17,7:00 PM,LI,t2,19,25
SI1,Bayonne 1 (SASA),JHS,2026-05-17,2:00 PM,HC,t1,33,21
Queens,West Side,JHS,2026-05-17,3:00 PM,HC,t1,42,27
Summit,Bayonne 2 (VMSJ),JHS,2026-05-17,4:00 PM,HC,t1,31,20
Brooklyn,Astoria,Girls,2026-05-17,5:00 PM,BK,t1,25,0
SI2,Upstate,Girls,2026-05-17,5:00 PM,HC,t2,4,23
Bayonne 1 (SASA),Holmdel,Girls,2026-05-17,3:00 PM,GC,t2,9,34
SI2,Holmdel,College,2026-05-17,9:00 PM,GC,t2,48,91
Long Island,Brooklyn,College,2026-05-17,5:00 PM,LI,t2,33,35
Queens,Upstate,College,2026-05-17,6:00 PM,BK,t1,25,0
Philadelphia,Piscataway,College,2026-05-17,6:00 PM,EB,t1,54,39
SI2,Holmdel,Mens,2026-05-17,8:00 PM,GC,t2,44,52
Bayonne 1 (SASA),Hatfield,Mens,2026-05-17,7:00 PM,EB,t1,32,29
SI2 (2),Brooklyn (1),HS-NY,2026-05-30,4:00 PM,BK,t2,27,42
SI1 (2),Brooklyn (2),HS-NY,2026-05-30,12:00 PM,BK,t1,35,17
Astoria,Long Island (1),HS-NY,2026-05-30,1:00 PM,BK,t1,49,24
SI2 (1),Long Island (2),HS-NY,2026-05-30,2:00 PM,BK,t1,17,11
Bayonne 1 (SASA) (2),Upstate,HS-NJ,2026-05-30,12:00 PM,EB,t2,28,31
Makkar,West Side,HS-NJ,2026-05-30,1:00 PM,EB,t1,44,37
Piscataway,Bayonne 2 (VMSJ) (2),HS-NJ,2026-05-30,3:00 PM,EB,t1,33,16
EB (2),Holmdel,HS-NJ,2026-05-30,11:00 AM,EB,t2,19,33
Philadelphia,Bayonne 2 (VMSJ) (1),HS-NJ,2026-05-30,4:00 PM,EB,t1,42,31
Paramus,Bayonne 1 (SASA) (1),HS-NJ,2026-05-30,10:00 AM,SJN,t2,0,25
Long Island,Bayonne 1 (SASA),College,2026-05-30,3:00 PM,BK,t2,38,51
Brooklyn,Queens,College,2026-05-30,5:00 PM,BK,t1,46,40
Philadelphia,Holmdel,College,2026-05-30,6:00 PM,EB,t1,71,70
Bayonne 2 (VMSJ),Upstate,College,2026-05-30,12:00 PM,HC,t1,53,41
SI1,SI2,College,2026-05-30,2:00 PM,HC,t1,50,41
Queens,Bayonne 1 (SASA),Mens,2026-05-30,3:00 PM,HC,t1,81,40
Long Island,SI1,Mens,2026-05-30,6:00 PM,BK,t1,57,53
Hatfield,Holmdel,Mens,2026-05-30,7:00 PM,EB,t2,18,21
EB,SI2,Mens,2026-05-30,8:00 PM,EB,t1,55,50
EB (2),Summit,JHS,2026-05-30,9:00 AM,EB,t2,24,32
Philadelphia,SI2,JHS,2026-05-30,5:00 PM,EB,t2,21,24
SI1,Astoria,JHS,2026-05-30,11:00 AM,HC,t1,30,20
